,Date,Company,Position,keyword,Location,Job Link,Actively Hiring?,CTC Range,Posting Time,Experience,Start Date,JD
0,2023-Jul-31,Media.net,Research Analyst,Analytics,Mumbai,https://internshala.com/job/detail/research-analyst-fresher-jobs-in-mumbai-at-medianet1690616469,Actively hiring,"₹ 2,95,000 - 3,00,000                                

                                ₹ 2,95,000 - 3,00,000 /year",2 days ago,Job,Starts Immediately,"Actively hiring




Research Analyst 


                        Media.net                    










Mumbai 







                                    Start date
                                


Starts Immediately
                            




CTC (ANNUAL)



                                    ₹ 2,95,000 - 3,00,000                                

                                ₹ 2,95,000 - 3,00,000 /year                            






                                    Experience
                                

0-2 years
0-2 years experience






Apply By

28 Aug' 23







Posted 3 days ago




Job











221 applicants




 



Share on WhatsApp
                                



Share on LinkedIn
                                



Share on Facebook
                                



Share on Twitter
                                



Copy link
                                








                    About Media.net                

Website 


        Media.net is a leading global ad tech company comprising of 1,300+ talented employees exclusively focused on developing innovative monetization products for digital publishers. By revenue, Media.net runs the #2 largest contextual ads program globally. We work as a trusted advisor to top management across various large publishers. We provide our publisher clients with expert advice, comprehensive access to the best monetization opportunities, and outstanding execution via highly customized solutions across all advertising formats- search, native, display, content, video, mobile, product, local and social ads. We consistently deliver long-term superior performance by using leading-edge technology, algorithms, high-quality research, and proprietary processes that allow us to display the most precisely targeted, highest paying ads.

We have a global footprint of offices spread across New York, Los Angeles, Dubai, Mumbai, Bangalore, Zurich, Frankfurt, etc.    

Activity on Internshala



Hiring since September 2019



34 opportunities posted



1 candidate hired



About the job

    Media.net is a leading global advertising technology company that develops innovative products for publishers and ad companies worldwide by market cap and runs the second-largest contextual advertising business worldwide by revenue. While our HQ is in Dubai, our employees are spread across key operation centers in New York, Los Angeles, Dubai, Zurich, Mumbai, and Bangalore. Media.net is both large and small! It's got the culture of a startup with the stability and resources of a larger organization. We have a flat hierarchy, great perks and benefits, and an amazingly progressive culture

Key responsibilities:

1. Enhancing customers' portfolio performance by ensuring continuous improvement on a daily basis
2. Investigating websites and conducting research & analysis for identifying concepts of domain names
3. Optimizing domain names and consistently monitoring domain names as per customer feedback and satisfaction for internet advertising
4. Checking the content, quality, and accuracy of each concept
5. Checking keyword lists of advertisers to maximize ROI for each advertiser/publisher
6. Creating daily, weekly, and monthly performance reports for performance analysis
7. Monitoring and enforcement of acceptable usage policies in cases of system abuse, illegal usage, misrepresentation, etc.
8. Working on constant learning of concepts pertaining to internet advertising
9. Liaising with the business development specialists to facilitate the maximization of revenue ensuring the smooth functioning of the department

Skills & Requirements:

1. 2023 graduates only
2. Experience in online media is a bonus
3. Excellent oral & written communication skills
4. Excellent analytical skills
5. Good team player
6. Ability to complete large volumes of work quickly and independently
7. High level of drive, initiative, and self-motivation
8. Avid internet user, with a strong inclination toward technology
9. Familiarity with the Internet search industry preferred
Skill(s) required

Research and Analytics


Earn certifications in these skills


Learn Research and Analytics


Learn Business Communication


Learn Business Analytics


Learn Digital Marketing


Learn Statistics for Data Science


Learn Deep Learning


Learn Tableau


Learn SAS Programming


Learn SQL for Data Analytics


Learn Power BI


Learn Clinical Trial Analysis & Reporting


Learn Natural Language Processing


Learn Data Science



Who can apply


                        1. Only B. Tech Mumbai University 2023 pass out                    

Salary

Probation:

Duration: 

        Salary during probation:    
    
After probation:


Annual CTC: ₹ 2,95,000 - 3,00,000 /year 

Perks

Informal dress code
 5 days a week
 Free snacks & beverages
 Health Insurance
 Life Insurance

Number of openings

        2    




                        Apply now
                    







Additional Questions

×




Close









Sign up to continue









                    Sign up/ Login with Google
                





OR









Email



Password





First Name





Last Name





                By signing up, you agree to our Terms and Conditions.
            
Sign up

Already registered?
                            Login













Sign up to continue









                    Sign up/ Login with Google
                





OR









Email



Password





First Name





Last Name





                By signing up, you agree to our Terms and Conditions.
            
Sign up

Already registered?
                            Login"
1,2023-Jul-31,Elazra Corporation,Associate Business Analyst,Analytics,Delhi,https://internshala.com/job/detail/associate-business-analyst-fresher-jobs-in-delhi-at-elazra-corporation1690526102,No Info,"₹ 2,00,000 - 2,25,000                                

                                ₹ 2,00,000 - 2,25,000 /year",2 days ago,Job,Starts Immediately,"Associate Business Analyst 


                        Elazra Corporation                    










Delhi 







                                    Start date
                                


Starts Immediately
                            




CTC (ANNUAL)



                                    ₹ 2,00,000 - 2,25,000                                

                                ₹ 2,00,000 - 2,25,000 /year                            






                                    Experience
                                

0-2 years
0-2 years experience






Apply By

27 Aug' 23







Posted 3 days ago




Job











191 applicants




 



Share on WhatsApp
                                



Share on LinkedIn
                                



Share on Facebook
                                



Share on Twitter
                                



Copy link
                                








                    About Elazra Corporation                

        Elazra is a leading oil & gas, energy, power, and infrastructure consulting firm based in New Delhi.     

Activity on Internshala



Hiring since June 2018



7 opportunities posted



1 candidate hired



About the job

    Key responsibilities: 

1. Research related to management consulting projects
2. Client engagement and analysis
3. Report writing
Skill(s) required

English Proficiency (Written)
MS-Excel
MS-Office
Research and Analytics


Earn certifications in these skills


Learn MS-Excel


Learn Business Communication


Learn Research and Analytics



Who can apply


                        1.  Those who are from or open to relocate to Delhi and neighboring cities                    

                        2. MBA preferred                    

Salary

Probation:

Duration: 3 months

        Salary during probation: ₹10,000 /month   
    
After probation:


Annual CTC: ₹ 2,00,000 - 2,25,000 /year 

Number of openings

        2    




                        Apply now
                    







Additional Questions

×




Close









Sign up to continue









                    Sign up/ Login with Google
                





OR









Email



Password





First Name





Last Name





                By signing up, you agree to our Terms and Conditions.
            
Sign up

Already registered?
                            Login













Sign up to continue









                    Sign up/ Login with Google
                





OR









Email



Password





First Name





Last Name





                By signing up, you agree to our Terms and Conditions.
            
Sign up

Already registered?
                            Login"
2,2023-Jul-31,Nirvana Solutions,Financial Data Analyst,Analytics,Gurgaon,https://internshala.com/job/detail/financial-data-analyst-fresher-jobs-in-gurgaon-at-nirvana-solutions1690352507,No Info,"₹ 3,60,000                                

                                ₹ 3,60,000 /year",3 days ago,Job,Starts Immediately,"Financial Data Analyst 


                        Nirvana Solutions                    










Gurgaon 







                                    Start date
                                


Starts Immediately
                            




CTC (ANNUAL)



                                    ₹ 3,60,000                                

                                ₹ 3,60,000 /year                            






                                    Experience
                                

0-2 years
0-2 years experience






Apply By

26 Aug' 23







Posted 4 days ago




Job











400 applicants




 



Share on WhatsApp
                                



Share on LinkedIn
                                



Share on Facebook
                                



Share on Twitter
                                



Copy link
                                








                    About Nirvana Solutions                

Website 


        Nirvana Solutions is a New York-based financial technology company that provides real-time portfolio management solutions, consulting and custom software development services to investment managers e.g. hedge funds, prime brokers, asset managers, and fund administrators. Our development center is based in Gurugram.    

Activity on Internshala



Hiring since November 2022



2 opportunities posted



About the job

    Job Responsibilities:

1. Perform reconciliation with street and with the administrators of trades, non- trade activities, positions, accruals, cash balances, PNL, and NAV Data entry in SAP
2. Process trade-related accruals and expenses.
3. Process nontrading expenses.
4. Resolution of trade feed-related issues.
5. Resolution of feeds from third parties.
6. Preparation of customized reports for the client.

Other details:

1. Employment Type: Permanent
2. Job Location: Gurugram (Hybrid Model) Salary Offered: As per industry standard 3. Qualification: MBA- Finance Experience: 0-1 Years
4. Selection Process: Aptitude, Technical, Managerial, and HR Interviews
5. Service Agreement: Service Agreement of 12 months from the date of joining. If the employee leaves the organization within the service agreement, then they will have to compensate Nirvana Solutions with an amount of INR 1,00,000/-

Competencies:

1. Self-driven, motivated with excellent communication skills.
2. Excellent problem-solving capabilities: associated with skills and caliber to convert them into action.
3. Ability to think beyond the obvious, capability of asking smart questions during requirements, resulting in extensible and better-quality reports.
4. An excellent team player who gives more importance to team achievements than individual ones.
5. Able to connect with others' professional views and focused on finding ways to help other professionals connect with his / her own views.

Required Skills:

1. Excellent knowledge of MS Excel (Should be well versed with formulas like V- lookup, H-lookup, Pivot table, Concatenate, Trim, Countif, Coutifs, sumifs etc.)
2. Practical knowledge and understanding of MS Excel, MS Word, MS Outlook and MS PowerPoint.
3. Should be able to manage email communication independently.
4. Able to work on tools and applications. Good Communication skills written and verbal
Skill(s) required

MS-Excel


Earn certifications in these skills


Learn MS-Excel


Learn Business Communication


Learn Statistics for Data Science


Learn Deep Learning


Learn Tableau


Learn SAS Programming


Learn SQL for Data Analytics


Learn Power BI


Learn Clinical Trial Analysis & Reporting


Learn Business Analytics


Learn Natural Language Processing


Learn Financial modeling valuation


Learn Personal Finance


Learn Excel


Learn Data Science



Who can apply


                        1. MBA(Finance) graduates                    

Salary

Probation:

Duration: 

        Salary during probation:    
    
After probation:


Annual CTC: ₹ 3,60,000 /year 

Perks

5 days a week

Number of openings

        4    




                        Apply now
                    







Additional Questions

×




Close









Sign up to continue









                    Sign up/ Login with Google
                





OR









Email



Password





First Name





Last Name





                By signing up, you agree to our Terms and Conditions.
            
Sign up

Already registered?
                            Login













Sign up to continue









                    Sign up/ Login with Google
                





OR









Email



Password





First Name





Last Name





                By signing up, you agree to our Terms and Conditions.
            
Sign up

Already registered?
                            Login"
3,2023-Jul-31,Eta Solution,Business Analyst,Analytics,Navi Mumbai,https://internshala.com/job/detail/business-analyst-fresher-jobs-in-navi-mumbai-at-eta-solution1690378251,Actively hiring,"₹ 2,40,000 - 3,60,000                                

                                ₹ 2,40,000 - 3,60,000 /year",4 days ago,Job,Starts Immediately,"Actively hiring




Business Analyst 


                        Eta Solution                    










Navi Mumbai 







                                    Start date
                                


Starts Immediately
                            




CTC (ANNUAL)



                                    ₹ 2,40,000 - 3,60,000                                

                                ₹ 2,40,000 - 3,60,000 /year                            






                                    Experience
                                

0-2 years
0-2 years experience






Apply By

26 Aug' 23







Posted 5 days ago




Job











536 applicants




 



Share on WhatsApp
                                



Share on LinkedIn
                                



Share on Facebook
                                



Share on Twitter
                                



Copy link
                                








                    About Eta Solution                

        Eta Solution is a house of an energetic and dedicated team of professionals who are working for the same vision, which is enhancing the ability of a business to cope with the ever-emerging digital era. We are an IT company that provides end-to-end digital marketing and website design and development services.    

Activity on Internshala



Hiring since May 2021



73 opportunities posted



7 candidates hired



About the job

    Eta Solution is looking for an outstanding Business Analyst with high proficiency in Data Analytics, MS Office, and MS PowerPoint, and excellent English communication skills, both written & spoken. If you are an ambitious professional with an eye for detail, we would love to get you on board.

Key responsibilities:

1. Design, build, develop, maintain, and analyze decision-making info systems and models
2. Analyze and interpret data to identify trends and patterns
3. Recommend improvements and optimize complex business processes
4. Develop financial reports and dashboards
5. Monitor performance metrics and ensure the accuracy of data
6. Collaborate with stakeholders to gain an understanding of business and user needs
7. Develop documentation and support training for users on new systems
8. Create data-driven reports and presentations
9. Create creative PPTs
Skill(s) required

Adobe Creative Suite
Business Analysis
Data Analytics
English Proficiency (Spoken)
English Proficiency (Written)
MS-Office
MS-PowerPoint
Report Writing


Earn certifications in these skills


Learn Data Analytics


Learn Business Communication



Who can apply


                        1.  Those who are from or open to relocate to Navi Mumbai and neighboring cities                    

Salary

Probation:

Duration: 

        Salary during probation:    
    
After probation:


Annual CTC: ₹ 2,40,000 - 3,60,000 /year
Annual CTC breakup:
1. Fixed component: 90%
2. Variable component: 10%

Perks

Informal dress code

Number of openings

        2    




                        Apply now
                    







Additional Questions

×




Close









Sign up to continue









                    Sign up/ Login with Google
                





OR









Email



Password





First Name





Last Name





                By signing up, you agree to our Terms and Conditions.
            
Sign up

Already registered?
                            Login













Sign up to continue









                    Sign up/ Login with Google
                





OR









Email



Password





First Name





Last Name





                By signing up, you agree to our Terms and Conditions.
            
Sign up

Already registered?
                            Login"
4,2023-Jul-31,Finbox,Data Quality Associate,Analytics,Gurgaon,https://internshala.com/job/detail/data-quality-associate-fresher-jobs-in-gurgaon-at-finbox1689928655,No Info,"₹ 4,00,000 - 5,00,000                                

                                ₹ 4,00,000 - 5,00,000 /year",4 days ago,Job,Starts Immediately,"Data Quality Associate 


                        Finbox                    









Gurgaon 







                                    Start date
                                


Starts Immediately
                            




CTC (ANNUAL)



                                    ₹ 4,00,000 - 5,00,000                                

                                ₹ 4,00,000 - 5,00,000 /year                            






                                    Experience
                                

0-5 years
0-5 years experience






Apply By

25 Aug' 23







Posted 5 days ago




Job











443 applicants




 



Share on WhatsApp
                                



Share on LinkedIn
                                



Share on Facebook
                                



Share on Twitter
                                



Copy link
                                








                    About Finbox                

Website 


        FinBox is a fintech start-up revolutionizing the lending industry with the use of alternative data for credit underwriting and collections prioritization. We are a passionate team of hackers and builders on a mission to bring financial services to the next billion Indians. At FinBox, you will work in a high-growth environment with constant challenges. We have 2 centrally located offices in Gurgaon (Cyber City) and Bangalore (HSR).


Activity on Internshala



Hiring since July 2023



1 opportunity posted



About the job

    Key responsibilities: 

1. Be a part of the data operations team to gather high-quality insights from transactional SMS data
2. Learn and grow with a team of talented professionals
3. Make regular expressions and perform data labeling for transactional SMS data
4. Responsible for monitoring dashboards to gain valuable business insights

Requirements:

1. Excellent problem-solving and debugging skills
2. Ability to clearly articulate and present data insights
Skill(s) required

MS-Excel


Earn certifications in these skills


Learn MS-Excel


Learn Statistics for Data Science


Learn Deep Learning


Learn Tableau


Learn SAS Programming


Learn SQL for Data Analytics


Learn Power BI


Learn Clinical Trial Analysis & Reporting


Learn Business Analytics


Learn Natural Language Processing


Learn Data Science



Salary

Probation:

Duration: 

        Salary during probation:    
    
After probation:


Annual CTC: ₹ 4,00,000 - 5,00,000 /year
Annual CTC breakup:
1. Fixed component: 90%
2. Variable component: 10%

Perks

Informal dress code
 5 days a week
 Health Insurance

Number of openings

        5    




                        Apply now
                    







Additional Questions

×




Close









Sign up to continue









                    Sign up/ Login with Google
                





OR









Email



Password





First Name





Last Name





                By signing up, you agree to our Terms and Conditions.
            
Sign up

Already registered?
                            Login













Sign up to continue









                    Sign up/ Login with Google
                





OR









Email



Password





First Name





Last Name





                By signing up, you agree to our Terms and Conditions.
            
Sign up

Already registered?
                            Login"
5,2023-Jul-31,Future Skills,Business Systems Analyst,Analytics,Hyderabad,https://internshala.com/job/detail/business-systems-analyst-fresher-jobs-in-hyderabad-at-future-skills1690373530,Actively hiring,"₹ 3,00,000 - 5,00,000                                

                                ₹ 3,00,000 - 5,00,000 /year",4 days ago,Job,Starts Immediately,"Actively hiring




Business Systems Analyst 


                        Future Skills                    










Hyderabad 







                                    Start date
                                


Starts Immediately
                            




CTC (ANNUAL)



                                    ₹ 3,00,000 - 5,00,000                                

                                ₹ 3,00,000 - 5,00,000 /year                            






                                    Experience
                                

0-5 years
0-5 years experience






Apply By

25 Aug' 23







Posted 5 days ago




Job











215 applicants




 



Share on WhatsApp
                                



Share on LinkedIn
                                



Share on Facebook
                                



Share on Twitter
                                



Copy link
                                








                    About Future Skills                

Website 


        Joseph SriHarsha & Mary Indraja Educational Society, in collaboration with the Ministry of Rural Development, Government of India, and DDU-GKY is offering 12+ courses with industry experts in ""Future Skills"" in the states of Andhra Pradesh, Gujarat, Kerala, Madhya Pradesh, Tripura, West Bengal, and is successfully placing students in companies across India. This program is meticulously executed with the help of experts committed to bringing about substantial change and improvement.

This is a system of concrete tutelage where enrolled students are exposed to international placements as well to help usher their growth on a global scale.    

Activity on Internshala



Hiring since December 2022



212 opportunities posted



19 candidates hired



About the job

    Key responsibilities: 

1. Identify gaps between current and desired states and propose solutions
2. Identify areas for process improvement and recommend optimizations
3. Prepare detailed functional specifications and user stories for development teams
Skill(s) required

Business Analysis


Earn certifications in these skills


Learn Statistics for Data Science


Learn Deep Learning


Learn Tableau


Learn SAS Programming


Learn SQL for Data Analytics


Learn Power BI


Learn Clinical Trial Analysis & Reporting


Learn Business Analytics


Learn Natural Language Processing


Learn Data Science



Salary

Probation:

Duration: 6 months

        Salary during probation: ₹12,000 /month   
    
After probation:


Annual CTC: ₹ 3,00,000 - 5,00,000 /year 

Number of openings

        2    




                        Apply now
                    







Additional Questions

×




Close









Sign up to continue









                    Sign up/ Login with Google
                





OR









Email



Password





First Name





Last Name





                By signing up, you agree to our Terms and Conditions.
            
Sign up

Already registered?
                            Login













Sign up to continue









                    Sign up/ Login with Google
                





OR









Email



Password





First Name





Last Name





                By signing up, you agree to our Terms and Conditions.
            
Sign up

Already registered?
                            Login"
6,2023-Jul-31,CADILA ZYDUS PVT LTD,Data Analytics Associate,Analytics,Hyderabad,https://internshala.com/job/detail/data-analytics-associate-fresher-jobs-in-hyderabad-at-cadila-zydus-pvt-ltd1690265068,No Info,"₹ 4,50,000 - 6,50,000                                

                                ₹ 4,50,000 - 6,50,000 /year",4 days ago,Job,Starts Immediately,"Data Analytics Associate 


                        CADILA ZYDUS PVT LTD                    










Hyderabad 







                                    Start date
                                


Starts Immediately
                            




CTC (ANNUAL)



                                    ₹ 4,50,000 - 6,50,000                                

                                ₹ 4,50,000 - 6,50,000 /year                            






                                    Experience
                                

0-5 years
0-5 years experience






Apply By

25 Aug' 23







Posted 5 days ago




Job











865 applicants




 



Share on WhatsApp
                                



Share on LinkedIn
                                



Share on Facebook
                                



Share on Twitter
                                



Copy link
                                








                    About CADILA ZYDUS PVT LTD                

        Cadila ZYDUS Private Limited, is an Indian  pharmaceutical company headquartered in Ahmedabad, which is primarily engaged in the manufacture of generic drugs. The company ranked 100th in the Fortune India 500 list in 2020.    

Activity on Internshala



Hiring since July 2023



1 opportunity posted



About the job

    Key responsibilities: 

1. Using automated tools to extract data from primary and secondary sources
2. Using statistical tools to identify, analyze, and interpret patterns and trends in complex data sets could be helpful for the diagnosis and prediction
3. Preparing final analysis reports for the stakeholders to understand the data-analysis steps, enabling them to take important decisions based on various facts and trends
4. Working with programmers, engineers, and management heads to identify process improvement opportunities, propose system modifications, and devise data governance strategies
5. Assigning numerical value to essential business functions so that business performance can be assessed and compared over periods of time
Skill(s) required

Data Analytics
Data Structures
MS SQL Server
Python
SPSS


Earn certifications in these skills


Learn Python


Learn Voice App Development


Learn Data Structures


Learn Data Analytics


Learn MS SQL Server



Who can apply


                        1.  Those who are from or open to relocate to Hyderabad and neighboring cities                    

                        2. Good knowledge in data analysis field                    

Salary

Probation:

Duration: 

        Salary during probation:    
    
After probation:


Annual CTC: ₹ 4,50,000 - 6,50,000 /year
Annual CTC breakup:
1. Fixed component: 90%
2. Variable component: 5%
3. Other incentives: 5%

Perks

5 days a week
 Cab/Transportation facility

Number of openings

        16    




                        Apply now
                    







Additional Questions

×




Close









Sign up to continue









                    Sign up/ Login with Google
                





OR









Email



Password





First Name





Last Name





                By signing up, you agree to our Terms and Conditions.
            
Sign up

Already registered?
                            Login













Sign up to continue









                    Sign up/ Login with Google
                





OR









Email



Password





First Name





Last Name





                By signing up, you agree to our Terms and Conditions.
            
Sign up

Already registered?
                            Login"
7,2023-Jul-31,Future Skills,Business Analyst,Analytics,Hyderabad,https://internshala.com/job/detail/business-analyst-fresher-jobs-in-hyderabad-at-future-skills1690294512,Actively hiring,"₹ 3,00,000 - 5,00,000                                

                                ₹ 3,00,000 - 5,00,000 /year",5 days ago,Job,Starts Immediately,"Actively hiring




Business Analyst 


                        Future Skills                    










Hyderabad 







                                    Start date
                                


Starts Immediately
                            




CTC (ANNUAL)



                                    ₹ 3,00,000 - 5,00,000                                

                                ₹ 3,00,000 - 5,00,000 /year                            






                                    Experience
                                

0-5 years
0-5 years experience






Apply By

25 Aug' 23







Posted 6 days ago




Job











292 applicants




 



Share on WhatsApp
                                



Share on LinkedIn
                                



Share on Facebook
                                



Share on Twitter
                                



Copy link
                                








                    About Future Skills                

Website 


        Joseph SriHarsha & Mary Indraja Educational Society, in collaboration with the Ministry of Rural Development, Government of India, and DDU-GKY is offering 12+ courses with industry experts in ""Future Skills"" in the states of Andhra Pradesh, Gujarat, Kerala, Madhya Pradesh, Tripura, West Bengal, and is successfully placing students in companies across India. This program is meticulously executed with the help of experts committed to bringing about substantial change and improvement.

This is a system of concrete tutelage where enrolled students are exposed to international placements as well to help usher their growth on a global scale.    

Activity on Internshala



Hiring since December 2022



212 opportunities posted



19 candidates hired



About the job

    Key responsibilities: 

1. Elicit, document, and analyze business requirements from stakeholders and users.
2. Analyze data and business processes to identify patterns, trends, and insights.
3. Create visual representations of business processes, workflows, and system interactions.
Skill(s) required

Business Analysis


Earn certifications in these skills


Learn Statistics for Data Science


Learn Deep Learning


Learn Tableau


Learn SAS Programming


Learn SQL for Data Analytics


Learn Power BI


Learn Clinical Trial Analysis & Reporting


Learn Business Analytics


Learn Natural Language Processing


Learn Data Science



Salary

Probation:

Duration: 6 months

        Salary during probation: ₹12,000 /month   
    
After probation:


Annual CTC: ₹ 3,00,000 - 5,00,000 /year 

Number of openings

        2    




                        Apply now
                    







Additional Questions

×




Close









Sign up to continue









                    Sign up/ Login with Google
                





OR









Email



Password





First Name





Last Name





                By signing up, you agree to our Terms and Conditions.
            
Sign up

Already registered?
                            Login













Sign up to continue









                    Sign up/ Login with Google
                





OR









Email



Password





First Name





Last Name





                By signing up, you agree to our Terms and Conditions.
            
Sign up

Already registered?
                            Login"
8,2023-Jul-31,Upsquare Solutions Private Limited,Business Analyst,Analytics,Ahmedabad,https://internshala.com/job/detail/business-analyst-fresher-jobs-in-ahmedabad-at-upsquare-solutions-private-limited1689842675,Actively hiring,"₹ 2,00,000 - 3,00,000                                

                                ₹ 2,00,000 - 3,00,000 /year",1 week ago,Job,Starts Immediately,"Actively hiring




Business Analyst 


                        Upsquare Solutions Private Limited                    









Ahmedabad 







                                    Start date
                                


Starts Immediately
                            




CTC (ANNUAL)



                                    ₹ 2,00,000 - 3,00,000                                

                                ₹ 2,00,000 - 3,00,000 /year                            






                                    Experience
                                

0-2 years
0-2 years experience






Apply By

19 Aug' 23







Posted 1 week ago




Job











307 applicants




 



Share on WhatsApp
                                



Share on LinkedIn
                                



Share on Facebook
                                



Share on Twitter
                                



Copy link
                                








                    About Upsquare Solutions Private Limited                

Website 


        We create our own mobile app products, used and loved by millions all around the world. And we take care of anything and everything that makes the app experience better for our users, right from hiring the right talent to investing in infrastructure that enables a better user experience.    

Activity on Internshala



Hiring since July 2023



1 opportunity posted



About the job

    Key responsibilities: 

1. Client Communication
2. Data Gathering 
3.Analysis of Projects and their requirements
Skill(s) required

Business Analysis


Earn certifications in these skills


Learn Statistics for Data Science


Learn Deep Learning


Learn Tableau


Learn SAS Programming


Learn SQL for Data Analytics


Learn Power BI


Learn Clinical Trial Analysis & Reporting


Learn Business Analytics


Learn Natural Language Processing


Learn Data Science



Who can apply


                        1.  Those who are from or open to relocate to Ahmedabad                    

                        2. IT Graduates, MBA, MCA, BCA,BSC-IT, MSC-IT                    

Salary

Probation:

Duration: 6 months

        Salary during probation: ₹10,000 - 15,000 /month   
    
After probation:


Annual CTC: ₹ 2,00,000 - 3,00,000 /year 

Perks

Informal dress code
 5 days a week
 Free snacks & beverages

Number of openings

        4    




                        Apply now
                    







Additional Questions

×




Close









Sign up to continue









                    Sign up/ Login with Google
                





OR









Email



Password





First Name





Last Name





                By signing up, you agree to our Terms and Conditions.
            
Sign up

Already registered?
                            Login













Sign up to continue









                    Sign up/ Login with Google
                





OR









Email



Password





First Name





Last Name





                By signing up, you agree to our Terms and Conditions.
            
Sign up

Already registered?
                            Login"
9,2023-Jul-31,XenonStack,Data Miner,Analytics,Mohali,https://internshala.com/job/detail/data-miner-fresher-jobs-in-mohali-at-xenonstack1689596464,No Info,"₹ 2,00,000 - 4,00,000                                

                                ₹ 2,00,000 - 4,00,000 /year",1 week ago,Job,Starts Immediately,"Data Miner 


                        XenonStack                    










Mohali 







                                    Start date
                                


Starts Immediately
                            




CTC (ANNUAL)



                                    ₹ 2,00,000 - 4,00,000                                

                                ₹ 2,00,000 - 4,00,000 /year                            






                                    Experience
                                

0-2 years
0-2 years experience






Apply By

17 Aug' 23







Posted 1 week ago




Job











147 applicants




 



Share on WhatsApp
                                



Share on LinkedIn
                                



Share on Facebook
                                



Share on Twitter
                                



Copy link
                                








                    About XenonStack                

Website 


        We are an enterprise data, AI platform, and cloud transformation company with a vision of transforming enterprises into AI-first organizations building intelligent distributed and data-driven decision platforms on enterprise data, AI, IoT, cloud, and DevOps. We primarily focus on enterprise data-driven applications at scale with serverless and microservices architecture on cloud, on-premises, and multi-cloud solutions. In 2017, we received the 'best start-up' of the year award from TiE Chandigarh. In 2018, we received the 'best product of the year' award from STPI, Ministry of Electronics and IT. We have been working with platforms and products for continuous delivery and enterprise data and AI hub and are also co-engineering a few products with enterprises.    

Activity on Internshala



Hiring since October 2022



15 opportunities posted



About the job

    Key responsibilities:

1. Manage valuable insights in large sets of data  
2. Help us extract valuable insights from the data we collect
3. Work on developing and implementing data mining plans, as well as conducting analysis to support business decisions. 

Why you'll love working with us: 

1. Lively/purposeful work culture and people-oriented organization  
2. Exposure to working on enterprise national and international $million projects  
3. Complete job and employee security  
4. Warm, authentic and transparent communication  
5. Time to time feedback and exposure to different technologies Appreciation and rewards on performance achievements. 

Requirements and skills: 

1. Data Mining from different online and offline resources using tools like Excel, Google sheets or CRM softwares  
2. Graduate with Good Experience in Accurate Data Mining from various online and offline resources.  
3. Preference will be given to candidates who have experience working with IT and/or Software Organisations in Data Mining.  
4. Good Communication skills and professional command on Written English.   
5. Professional experience in managing and maintaining large Data sets and databases.  
6. Professional Typing skills and competent accuracy in relevant Data Extraction.  
7. Working knowledge of Google Sheets, MS Excel or online CRM softwares. 
8. Education Qualification: Any Graduate. 
9. Must Have Skill: Working Knowledge of Data Mining 

Location: Plot No. C-184, Sixth Floor 603, Sector 75 Phase VIIIA, Mohali 160071. 
Work Engagement: In-Office
Skill(s) required

Data Analytics


Earn certifications in these skills


Learn Data Analytics



Salary

Probation:

Duration: 

        Salary during probation:    
    
After probation:


Annual CTC: ₹ 2,00,000 - 4,00,000 /year 

Perks

Free snacks & beverages
 Health Insurance

Number of openings

        4    




                        Apply now
                    







Additional Questions

×




Close









Sign up to continue









                    Sign up/ Login with Google
                





OR









Email



Password





First Name





Last Name





                By signing up, you agree to our Terms and Conditions.
            
Sign up

Already registered?
                            Login













Sign up to continue









                    Sign up/ Login with Google
                





OR









Email



Password





First Name





Last Name





                By signing up, you agree to our Terms and Conditions.
            
Sign up

Already registered?
                            Login"
